player,position,predicted_fantasy_points,conference,team,predicted_fantasy_points_ppr,model,position_rank,position_rank_ppr
Jeremiyah Love,RB,242.59389999999996,FBS Independents,ARI,282.20279999999985,with_pick,1,1
Fernando Mendoza,QB,193.2132000000001,Big Ten,LVR,193.09449999999998,with_pick,1,1
Jadarian Price,RB,155.97080000000008,FBS Independents,SEA,177.12539999999998,with_pick,2,2
Ty Simpson,QB,126.7508,SEC,LAR,131.25399999999996,with_pick,2,2
Jordyn Tyson,WR,121.59380000000009,Big 12,NOR,185.1457999999998,with_pick,1,2
Carnell Tate,WR,118.61149999999985,Big Ten,TEN,198.24459999999976,with_pick,2,1
Omar Cooper Jr.,WR,99.00450000000001,Big Ten,NYJ,150.53189999999992,with_pick,3,3
De'Zhaun Stribling,WR,88.66410000000003,SEC,SFO,142.42509999999996,with_pick,4,4
Germie Bernard,WR,78.51670000000017,SEC,PIT,130.08849999999987,with_pick,5,5
Carson Beck,QB,76.50319999999992,ACC,ARI,75.5885999999999,with_pick,3,3
Kenyon Sadiq,TE,74.84020000000011,Big Ten,NYJ,95.45840000000007,with_pick,1,1
Makai Lemon,WR,72.08300000000014,Big Ten,PHI,93.53360000000006,with_pick,6,7
Denzel Boston,WR,71.91499999999998,Big Ten,CLE,106.6880999999999,with_pick,7,6
Jonah Coleman,RB,69.6178,Big Ten,DEN,92.15809999999999,with_pick,3,3
Cade Klubnik,QB,61.72729999999993,ACC,NYJ,67.7916999999999,with_pick,4,4
Kevin Coleman Jr.,WR,57.072299999999956,SEC,MIA,91.68919999999997,with_pick,8,8
Sam Roush,TE,48.52529999999999,ACC,CHI,76.75349999999999,with_pick,2,2
Oscar Delp,TE,45.2915,SEC,NOR,65.32020000000003,with_pick,3,5
Malachi Fields,WR,44.001500000000014,FBS Independents,NYG,68.3258000000001,with_pick,9,10
Antonio Williams,WR,42.520199999999974,ACC,WAS,59.36719999999997,with_pick,10,13
Zachariah Branch,WR,42.22949999999999,SEC,ATL,67.1226,with_pick,11,11
Kaelon Black,RB,41.87099999999999,Big Ten,SFO,56.04599999999995,with_pick,4,4
Emmett Johnson,RB,41.868799999999986,Big Ten,KAN,52.8279,with_pick,5,5
Eli Raridon,TE,41.72080000000003,FBS Independents,NWE,62.202500000000015,with_pick,4,6
Eli Heidenreich,WR,41.36349999999999,American Athletic,PIT,62.39449999999997,with_pick,12,12
Nicholas Singleton,RB,40.855499999999964,Big Ten,TEN,42.47289999999996,with_pick,6,7
Max Klare,TE,39.73720000000001,Big Ten,LAR,66.4004,with_pick,5,4
Kaytron Allen,RB,38.4715,Big Ten,WAS,47.17299999999997,with_pick,7,6
Tanner Koziol,TE,38.05299999999995,Big 12,JAX,55.25899999999993,with_pick,6,8
Eli Stowers,TE,35.99890000000002,SEC,PHI,68.37960000000001,with_pick,7,3
Garrett Nussmeier,QB,35.97800000000004,SEC,KAN,40.224800000000045,with_pick,5,5
Brenen Thompson,WR,35.58120000000001,SEC,LAC,52.23210000000001,with_pick,13,17
Justin Joly,TE,35.02690000000002,ACC,DEN,40.26230000000002,with_pick,8,10
Elijah Sarratt,WR,34.92999999999994,Big Ten,BAL,69.45149999999991,with_pick,14,9
Lewis Bond,WR,34.474999999999994,ACC,HOU,58.3825,with_pick,15,14
Athan Kaliakmanis,QB,33.083600000000025,Big Ten,WAS,31.342200000000012,with_pick,6,7
Ja'Kobi Lane,WR,32.66620000000001,Big Ten,BAL,49.43939999999998,with_pick,16,18
Chris Bell,WR,31.526499999999988,ACC,MIA,53.29649999999996,with_pick,17,15
